time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp_c
8100,0.1772,9.9671,0.8811,-2.5191,0.5496,-0.1221,41.28
8150,0.2083,9.9623,0.9098,-2.3511,0.6260,-0.1527,41.38
8200,0.2131,9.9383,0.9122,-2.4427,0.4580,-0.0153,41.42
8250,0.1796,9.9814,0.9625,-2.5802,0.2443,-0.1069,41.38
8300,0.1963,9.9623,0.9720,-2.3817,0.4580,-0.1679,41.42
8350,0.1796,9.9264,0.8954,-2.4275,0.5496,-0.2290,41.42
8400,0.1772,9.9886,0.9385,-2.3664,0.4580,-0.2901,41.24
8450,0.1772,9.9431,0.9026,-2.3969,0.6260,-0.1374,41.42
8500,0.2035,9.9742,0.8954,-2.2443,0.5496,-0.1985,41.57
8550,0.1963,9.9623,0.9337,-2.2748,0.5649,-0.1679,41.28
8600,0.1772,9.9383,0.9218,-2.5191,0.5496,-0.2901,41.42
8650,0.1963,9.9216,0.9553,-2.5496,0.4885,-0.0916,41.61
8700,0.1700,9.9671,0.9697,-2.3664,0.6107,-0.1832,41.38
8750,0.1652,9.9431,0.8906,-2.5802,0.4733,-0.1985,41.38
8800,0.1915,9.9383,0.9433,-2.4733,0.3664,-0.1832,41.47
8850,0.1820,9.9671,0.8595,-2.2290,0.4733,-0.2137,41.47
8900,0.1939,9.9096,0.8523,-2.4733,0.6870,-0.1985,41.47
8950,0.1867,9.9359,0.9218,-2.4580,0.3969,-0.1832,41.24
9000,0.1556,9.9503,0.9361,-2.1679,0.5191,-0.1069,41.38
9050,0.1676,9.9814,0.9649,-2.5191,0.5496,-0.3053,41.19
9100,0.1867,9.9527,0.9266,-2.2595,0.5496,-0.0916,41.19
9150,0.2155,9.9431,0.9768,-2.2901,0.6565,-0.0916,41.05
9200,0.2059,9.9647,0.8882,-2.4733,0.4275,-0.1374,41.38
9250,0.1508,9.9790,0.9122,-2.4733,0.4733,-0.0916,41.24
9300,0.1724,9.9647,0.9337,-2.5954,0.3206,-0.3664,41.42
9350,0.1604,9.9599,0.9601,-2.5038,0.3359,-0.3206,41.38
9400,0.2011,9.9742,0.9625,-2.4427,0.4580,-0.2748,41.42
9450,0.1915,9.9264,0.9050,-2.3664,0.5496,-0.0916,41.42
9500,0.1484,9.9288,0.9720,-2.3817,0.3053,-0.1374,41.42
9550,0.1772,9.9431,0.9313,-2.3511,0.4580,-0.1679,41.57
9600,0.1987,10.0054,0.8978,-2.3969,0.4733,-0.2443,41.24
9650,0.1867,9.9766,0.9337,-2.4427,0.5038,-0.3359,41.42
9700,0.1556,9.9718,0.9697,-2.3206,0.4427,-0.2290,41.42
9750,0.1628,10.0413,0.9433,-2.1527,0.3359,-0.1374,41.42
9800,0.1915,9.9671,0.9290,-2.1985,0.4122,-0.3359,41.47
9850,0.1772,9.9455,0.9864,-2.4427,0.3511,-0.1527,41.28
9900,0.1389,9.9742,0.8571,-2.3359,0.4122,0.0916,41.38
9950,0.1820,9.9814,0.9673,-2.4885,0.5954,0.1527,41.42
10000,0.1844,9.9838,0.8978,-2.2290,0.3511,-0.2901,41.19
10050,0.1484,9.9814,0.8954,-2.5038,0.4122,-0.0153,41.09
10100,0.1269,9.9742,0.9074,-2.3359,0.5496,-0.2901,41.42
10150,0.2107,9.9886,0.9744,-2.4427,0.4885,-0.1832,41.80
10200,0.1604,9.9934,0.9840,-2.2901,0.4580,-0.2290,41.24
10250,0.1963,9.9886,0.9409,-2.5038,0.1679,-0.2748,41.42
10300,0.2083,9.9718,0.8404,-2.2748,0.2748,-0.0611,41.42
10350,0.1604,9.9575,0.9074,-2.3664,0.6565,0.0611,41.42
10400,0.1437,9.9575,0.8954,-2.0611,0.3969,0.0153,41.28
10450,0.1508,9.9838,0.9146,-2.0305,0.7023,0.1069,41.19
10500,0.1604,9.9599,0.9170,-2.2137,0.6260,0.1069,41.24
10550,0.1628,9.9934,0.8667,-2.2137,0.5038,-0.2901,41.28
10600,0.1915,10.0078,0.9337,-2.3969,0.5344,-0.0916,41.47
10650,0.2418,9.9742,0.9457,-2.3817,0.3053,-0.0611,41.47
10700,0.1963,9.9144,0.9457,-2.6718,0.4733,-0.1069,41.42
10750,0.1820,10.0006,0.9194,-2.3206,0.4580,0.3969,41.57
10800,0.1700,9.9695,0.9218,-2.3206,0.5649,0.0305,41.57
10850,0.1604,9.9790,0.9720,-2.3359,0.2595,-0.2290,41.42
10900,0.1652,9.9958,0.9816,-2.3359,0.5496,-0.1221,41.42
10950,0.1820,9.9527,0.9026,-2.2748,0.4122,-0.1374,41.38
11000,0.2107,9.9671,0.9146,-2.3969,0.3817,0.0611,41.42
11050,0.1460,9.9575,0.9146,-2.2595,0.5496,0.0916,41.28
11100,0.2011,9.9503,0.9170,-2.2901,0.4580,-0.0611,41.42
11150,0.1915,9.9695,0.9481,-2.4580,0.6718,-0.1069,41.38
11200,0.1484,9.8904,0.9266,-2.4122,0.5038,-0.2290,41.38
11250,0.1460,10.0078,0.9170,-2.5496,0.4733,-0.0763,41.47
11300,0.1700,9.9695,0.9266,-2.5191,0.5496,-0.3359,41.47
11350,0.1963,9.9718,0.9290,-2.3817,0.7481,-0.0153,41.42
11400,0.1987,9.9695,0.9313,-2.4580,0.7023,-0.1374,41.42
11450,0.1963,9.9551,0.9146,-2.2443,0.3053,-0.0916,41.42
11500,0.1389,9.9838,0.9098,-2.6260,0.4885,-0.0611,41.42
11550,0.1700,9.9551,0.9026,-2.3511,0.2901,-0.2290,41.38
11600,0.1844,9.9311,0.9242,-2.5802,0.2290,0.0763,41.09
11650,0.1580,9.9671,0.9361,-2.3206,0.4275,-0.1374,41.42
11700,0.1652,9.9431,0.9792,-2.4275,0.6565,-0.0458,41.42
11750,0.1508,9.9575,0.8643,-2.4580,0.4122,-0.2901,41.28
11800,0.1844,9.9431,0.8547,-2.6107,0.5649,-0.2137,41.57
11850,0.1365,9.9479,0.9385,-2.5802,0.3817,0.0000,41.42
11900,0.2059,9.9383,0.9266,-2.3664,0.6412,-0.4427,41.61
11950,0.1987,9.9311,0.9697,-2.2443,0.4427,0.0916,41.42
12000,0.1891,9.9455,0.9433,-2.6412,0.5802,-0.2137,41.42
12050,0.1772,9.9407,0.9050,-2.6412,0.4885,-0.4427,41.61
12100,0.1796,9.9599,0.9385,-2.3053,0.4580,-0.0153,41.57
12150,0.1652,9.9359,0.9385,-2.2748,0.7023,-0.2137,41.47
12200,0.1724,9.9814,0.8906,-2.1985,0.6718,-0.0611,41.38
12250,0.1891,9.9718,0.8523,-2.5802,0.7176,-0.1985,41.61
12300,0.1772,9.9647,0.9936,-2.3817,0.5954,0.0000,41.71
12350,0.1844,9.9168,0.9313,-2.3969,0.7786,0.1527,41.42
12400,0.1508,9.9575,0.9146,-2.4427,0.6565,-0.0458,41.57
12450,0.1508,9.9455,0.8452,-2.5802,0.3359,0.1985,41.42
12500,0.1508,9.9910,0.9505,-2.6107,0.4580,0.0000,41.42
12550,0.1580,9.9527,0.9840,-2.3053,0.7176,-0.1069,41.24
12600,0.1556,9.9479,0.8499,-2.3969,0.3359,-0.3053,41.42
12650,0.1413,9.9527,0.9649,-2.3053,0.5038,-0.4275,41.38
12700,0.1796,9.9479,0.9313,-2.3511,0.5344,-0.1221,41.42
12750,0.1652,9.9671,0.9649,-2.2443,0.4580,-0.2290,41.19
12800,0.1389,10.0006,1.0008,-2.1527,0.5649,-0.0611,41.42
12850,0.1820,9.9671,0.8835,-2.4275,0.6718,-0.1832,41.47
12900,0.1939,10.0006,0.9313,-2.3359,0.6107,-0.2137,41.19
12950,0.1772,9.9311,0.9577,-2.5038,0.4885,-0.2137,41.57
13000,0.1676,9.9383,0.9290,-2.4122,0.6412,-0.1679,41.61
13050,0.1317,9.9934,0.9337,-2.4580,0.4275,0.0000,41.42
13100,0.1748,9.9431,0.9242,-2.3664,0.4733,-0.1679,41.28
13150,0.1604,9.9695,0.8811,-2.3664,0.4733,-0.3664,41.61
13200,0.1580,9.9695,0.8787,-2.1527,0.4275,-0.0611,41.42
13250,0.1724,9.9503,0.8763,-2.1985,0.1069,-0.1527,41.38
13300,0.1748,9.9886,0.9242,-2.6260,0.2595,-0.2137,41.71
13350,0.2035,9.9910,0.9313,-2.3817,0.2748,0.0458,41.42
13400,0.1652,9.9623,0.8643,-2.2748,0.3664,-0.0458,41.28
13450,0.1724,9.9718,0.9553,-2.3511,0.4122,0.0305,41.47
13500,0.1844,9.9623,0.9122,-2.3511,0.5038,-0.0458,41.47
13550,0.1891,9.9551,0.9649,-2.3817,0.7481,0.0611,41.38
13600,0.1580,9.9958,0.9505,-2.2901,0.4275,-0.0611,41.61
13650,0.1820,9.9718,0.9266,-2.3053,0.3817,-0.1069,41.61
13700,0.2011,9.9527,0.9361,-2.2290,0.3053,-0.0763,41.47
13750,0.1628,9.9838,0.8978,-2.2748,0.5496,-0.2290,41.75
13800,0.1532,9.9623,0.9409,-2.0916,0.3206,-0.3206,41.38
13850,0.1772,9.9671,0.9481,-2.1221,0.4580,0.1679,41.38
13900,0.1652,10.0006,0.9577,-2.1221,0.5038,-0.2901,41.38
13950,0.1748,9.9599,1.0032,-2.0763,0.3359,-0.1985,41.57
14000,0.1437,9.9718,0.9409,-2.3664,0.4885,0.0000,41.38
14050,0.1700,10.0126,0.9553,-2.2595,0.3206,0.2443,41.61
14100,0.1700,9.9695,0.8787,-2.0916,0.4580,-0.0763,41.57
14150,0.1987,9.9551,0.8882,-2.3359,0.3817,-0.1832,41.24
14200,0.1891,9.9695,0.9266,-2.2901,0.5954,-0.1527,41.61
14250,0.1724,9.9527,0.8906,-2.3511,0.2443,0.0153,41.38
14300,0.1676,9.9599,0.9337,-2.1527,0.5496,-0.0153,41.42
14350,0.1987,9.9288,0.9505,-2.5344,0.7023,0.0458,41.42
14400,0.1700,9.9599,0.9194,-2.2290,0.3206,0.1679,41.28
14450,0.1724,9.9790,0.8739,-2.2290,0.5344,-0.0305,41.38
14500,0.1867,9.9575,0.8882,-2.2290,0.3511,-0.1679,41.61
14550,0.1532,9.9695,0.9481,-2.6412,0.3969,0.0458,41.61
14600,0.1628,9.9766,0.9313,-2.4733,0.5496,0.0000,41.24
14650,0.1820,9.9718,0.9050,-2.4580,0.4427,-0.0458,41.47
14700,0.1484,9.9359,0.9002,-2.4427,0.5344,-0.2443,41.57
14750,0.1700,9.9551,0.9337,-2.5496,0.4733,-0.1679,41.42
14800,0.1700,9.9551,0.9050,-2.1985,0.2443,-0.2901,41.42
14850,0.1844,9.9551,0.9050,-2.1985,0.5649,-0.2748,41.42
14900,0.1820,9.9671,0.9409,-2.3511,0.5038,-0.1527,41.38
14950,0.1652,9.9431,0.9266,-2.3969,0.5649,-0.2901,41.47
15000,0.1963,9.9886,0.9481,-2.2901,0.4122,-0.3053,41.57
15050,0.1508,9.9575,0.9505,-2.3969,0.4885,-0.1221,41.38
15100,0.1939,9.9311,0.9313,-2.3969,0.3359,-0.0763,41.42
15150,0.1676,9.9431,0.9864,-2.5954,0.3817,-0.1832,41.47
15200,0.1844,9.9527,0.9074,-2.3817,0.7023,-0.1069,41.57
15250,0.1820,9.9982,0.8835,-2.1221,0.5496,-0.2901,41.42
15300,0.1963,9.9742,0.9194,-2.2901,0.5802,-0.2443,41.42
15350,0.1844,9.9695,0.9266,-2.7023,0.6565,-0.0153,41.61
15400,0.1628,9.9718,0.9218,-2.5191,0.4733,-0.3053,41.47
15450,0.1867,9.9311,0.9649,-2.3817,0.6260,-0.1679,41.57
15500,0.2155,9.9479,0.9792,-2.5802,0.4122,0.0305,41.42
15550,0.1844,9.9479,0.8906,-2.3511,0.4733,-0.0763,41.57
15600,0.1652,9.9718,0.9026,-2.3511,0.4122,-0.0153,41.71
15650,0.1748,9.9671,0.9170,-2.5496,0.5954,-0.3206,41.38
15700,0.1652,9.9599,0.9673,-2.4122,0.7023,-0.0458,41.38
15750,0.1676,10.0413,0.8523,-2.1832,0.3969,-0.1221,41.47
15800,0.1820,9.9407,0.8882,-2.3359,0.4885,-0.0763,41.47
15850,0.1628,9.9527,0.9601,-2.0458,0.5496,-0.4427,41.42
15900,0.1748,9.9575,0.9218,-2.3206,0.6412,-0.0916,41.42
15950,0.1365,9.9503,0.8882,-2.3817,0.4275,-0.1679,41.47
16000,0.1700,9.9359,0.9337,-2.4275,0.4275,-0.1221,41.57
16050,0.1556,9.9934,0.9122,-2.1832,0.5954,-0.3206,41.38
16100,0.1532,9.9527,0.9409,-2.2290,0.4885,-0.1069,41.75
16150,0.1508,9.9910,0.8595,-2.2443,0.3359,-0.0763,41.42
16200,0.1580,9.9790,0.9673,-2.2290,0.5802,-0.2137,41.24
16250,0.1963,9.9599,0.9266,-2.4427,0.6412,-0.3206,41.42
16300,0.1963,10.0030,0.9768,-2.3206,0.5344,-0.1221,41.75
16350,0.1628,9.9718,0.9481,-2.3664,0.3817,-0.3359,41.42
16400,0.1676,9.9503,0.9122,-2.3817,0.7939,-0.2137,41.42
16450,0.1317,9.9742,0.9218,-2.2901,0.5038,-0.0916,41.47
16500,0.1820,9.9958,0.9074,-2.3206,0.5954,-0.1221,41.75
16550,0.1772,9.9982,0.9313,-2.3969,0.5344,-0.1221,41.28
16600,0.1867,9.9311,0.9098,-2.2901,0.0916,-0.1985,41.47
16650,0.1844,9.9527,0.9625,-2.4885,0.3053,-0.1985,41.75
16700,0.1891,9.9718,0.9529,-2.2290,0.5344,-0.3053,41.42
16750,0.1748,9.9886,0.9840,-2.4885,0.2901,-0.1069,41.38
16800,0.1820,10.0006,0.9673,-2.3511,0.4733,-0.0611,41.24
16850,0.1508,9.9742,0.9720,-2.3969,0.3664,0.0916,41.71
16900,0.1987,9.9790,0.9074,-2.3817,0.5038,-0.0763,41.38
16950,0.1700,9.9671,0.8954,-2.3053,0.5802,-0.2137,41.47
17000,0.1628,9.9575,0.9529,-2.4275,0.2901,0.2748,41.42
17050,0.1437,9.9718,0.9385,-2.4733,0.6107,0.0611,41.47
17100,0.1580,9.9647,0.9266,-2.2901,0.4122,-0.0763,41.38
17150,0.1796,9.9383,0.9481,-2.3053,0.5649,-0.0611,41.80
17200,0.1820,9.9718,0.9553,-2.3359,0.4733,-0.0763,41.57
17250,0.1891,9.9671,0.9505,-2.3664,0.4580,-0.0153,41.47
17300,0.1389,9.9982,0.8978,-2.2290,0.3817,0.0305,41.71
17350,0.1772,9.9455,0.9601,-2.1832,0.2443,-0.0916,41.71
17400,0.1748,10.0126,0.9481,-2.0611,0.4275,0.0000,41.57
17450,0.2203,9.9383,0.9218,-2.4733,0.2748,-0.2443,41.38
17500,0.1963,9.9527,0.8930,-2.2443,0.1069,-0.2443,41.61
17550,0.1700,9.9479,0.8571,-2.3206,0.2290,-0.0458,41.47
17600,0.1628,9.9335,0.9098,-2.5496,0.4885,-0.1374,41.42
17650,0.1077,9.9599,0.9625,-2.2290,0.2901,-0.1527,41.42
17700,0.2083,9.9335,1.0223,-2.3359,0.5496,-0.0763,41.47
17750,0.1748,9.9671,0.9098,-2.5344,0.3817,-0.0611,41.42
17800,0.2059,9.9575,0.9122,-2.2748,0.8092,-0.1832,41.38
17850,0.1748,9.9407,0.9577,-2.0458,0.5038,0.1374,41.28
17900,0.2083,9.9790,0.9313,-2.3053,0.2748,-0.2901,41.42
17950,0.2059,9.9718,0.9242,-2.2290,0.5496,-0.1374,41.61
